,title,view_count,like_count,comment_count,published,duration,video_id
935,(Evander Holyfield) Barstool Pizza Review -  Marcello's Pizzeria (Atlanta),155765,3147,315,2020-3-3,256.0,FkTJuYvqFI0
936,"(Lil Jon) Barstool Pizza Review - Mellow Mushroom (Atlanta,GA) with Special Guest Lil Jon",866163,15248,1542,2020-3-3,595.0,OXahqDyStlM
937,"Barstool Pizza Review - Fellini's Pizza (Atlanta, GA)",118403,1690,254,2020-3-3,218.0,kxU0RF51Ye0
938,Antico (Atlanta) — Barstool Pizza Review,180691,2443,338,2020-3-3,239.0,UgQuaT6zORs
939,Barstool Pizza Review - Enzo Bruni La Pizza,70713,1099,123,2020-3-3,142.0,8XrVu0h2YtE
940,"Barstool Pizza Review - Dani's House of Pizza (Kew Gardens,NY)",148978,2082,311,2020-3-3,211.0,yJCG_4ftWnA
941,Barstool Pizza Review - Woodpecker By David Burke,76592,1326,173,2020-3-3,168.0,eE2SjagpRc8
942,Barstool Pizza Review - Costco Pizza,2011963,25205,3521,2020-3-3,147.0,nFMFlEtaKbM
943,"Barstool Pizza Review - Santillo's (Elizabeth,NJ) Bonus Old School Italian Pizza Maker",3240395,43533,3413,2020-3-3,684.0,gwuiW5V4zc4
944,(Sebastian Maniscalco) Barstool Pizza Review - Friendly Pizza Special Guest Sebastian Maniscalco,225027,3071,264,2020-3-3,313.0,2CohiACbjjE
945,(Soulja Boy) Barstool Pizza Review - Upside Pizza with Special Guest Soulja Boy,449192,7101,913,2020-3-3,393.0,wVlYHGVG88A
946,Barstool Pizza Review - Santucci's Original Square Pizza (Philadelphia),1135908,11838,877,2020-3-3,203.0,rTmO0rZ4QyM
947,Lorenzo & Sons (Philadelphia) — Barstool Pizza Review,655963,8199,693,2020-3-3,290.0,H5__aAnypQc
948,Barstool Pizza Review - Il Piccolo Bufalo with Special Guest Kevin Hart,1574163,23623,1084,2020-3-3,323.0,OxZe2vnoTTk
949,Barstool Pizza Review - Made In New York Pizza (Bonus Pizza Lawsuit),2138231,25454,1882,2020-3-3,590.0,uQOS4yRwdPw
950,"Barstool Pizza Review - Mama Rosa Pizzeria (Rutherford, NJ)",111288,1215,163,2020-3-3,152.0,t6i2sGpIawg
951,Barstool Pizza Review - Luna Ristorante,93931,1423,169,2020-3-3,220.0,M8xL4bRDzs4
952,Barstool Pizza Review - Da Gennaro,60049,788,104,2020-3-3,152.0,hSKaXzwkeqs
953,Barstool Pizza Review - The Best of 2018,381982,5650,268,2020-3-3,591.0,YocmEHnG09g
954,Barstool Pizza Review - Monopoly Pizza,77825,893,137,2020-3-3,219.0,54sd6Cy7IR8
955,Barstool Pizza Review - Mister O1 (Miami) With Special Guest @TheNaughtyFork,114311,1491,252,2020-3-3,252.0,X_ox5BcyuHY
956,"Barstool Pizza Review - Riko's Pizza (Stamford, CT)",1089554,14476,1307,2020-3-3,272.0,ObaAvu6Qd2Q
957,Barstool Pizza Review - Colony Grill (Bonus Hot Oil Pizza Review),978810,10334,839,2020-3-3,367.0,KxpxBSQb9ls
958,Barstool Pizza Review - California Pizza Kitchen,641117,9802,900,2020-3-3,244.0,kxkd3mFvOOI
959,"Barstool Pizza Review - Johnny Pepperoni (Hoboken,NJ)",125126,1676,209,2020-3-3,204.0,cQdDFr60mTs
960,Barstool Pizza Review - Brooklyn's Homeslice Pizza,72758,1066,156,2020-3-3,154.0,xnmokh2TtQI
961,Barstool Pizza Review - Da Nonna Rosa (Brooklyn),168506,2685,269,2020-3-3,392.0,7eP0NjAy6lo
962,Barstool Pizza Review - Marta With Special Guest Nick Cannon,206013,3351,441,2020-3-3,253.0,zjf_WC-47zE
963,Barstool Pizza Review - La Rossa,97790,1342,214,2020-3-3,230.0,V4fjPsZ6bwI
964,"Barstool Pizza Review - BAR (New Haven, CT)",881547,7322,540,2020-3-3,194.0,66xAWkTu-wM
965,"Barstool Pizza Review - Sally's Apizza (New Haven, CT)",2407749,24269,2008,2020-3-3,287.0,lGKGiThvEj0
966,"Barstool Pizza Review - Frank Pepe Pizzeria Napoletana (New Haven, CT)",696933,5032,895,2020-3-3,183.0,8l9llCSV28M
967,"Barstool Pizza Review - Goodfellas Distillery (Lexington,KY)",2408725,40661,4488,2020-3-3,189.0,IbQHPcMORQs
968,"Barstool Pizza Review - PieTana (Lexington,KY)",216042,2014,184,2020-3-3,189.0,5SMJl-GGJJU
969,"Barstool Pizza Review - Pies & Pints (Lexington,KY) Presented By Frank's RedHot",87982,1166,137,2020-3-3,177.0,rxB_sJefH4Y
970,Barstool Pizza Review - Bravo Pizza With Special Guest Gritty,153175,2456,199,2020-3-3,174.0,_HSisz5dp2I
971,Barstool Pizza Review - 800° Woodfired Kitchen With Special Guest Greg Norman,351774,3420,358,2020-3-3,351.0,jbBqbEm7bG8
972,Barstool Pizza Review -1000 Degrees (Boston),45091,531,72,2020-3-3,135.0,Bkjz3w2WgcE
973,Barstool Pizza Review - Pie Pie Pizzeria,42387,535,65,2020-3-3,128.0,E3nhPuZs5wc
974,Barstool Pizza Review - Big Slice Pizza With Special Guest Justin Willman (Bonus Magic Trick),352907,2848,204,2020-3-3,423.0,BNnzN144lYM
975,Barstool Pizza Review - Sauce Pizzeria,606112,9931,761,2020-3-3,289.0,Zn4J_ylZACs
976,Barstool Pizza Review - A Slice Of New York With Special Guest Chris Johnson,44455,764,111,2020-3-3,139.0,4vatHcfdIlM
